" ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Crimes","","","","","","","","","",""
"Violent Crimes","906","1,069","1,177","1,134","1,115","829","746","630","816","903"
"Homicide","6","5","3","3","4","2","3","5","7","2"
"Rape (Forcible Rape prior to 2014)","69","106","97","82","102","96","122","95","93","84"
"Rape","63","97","90","76","97","87","117","86","87","81"
"Attempted Rape","6","9","7","6","5","9","5","9","6","3"
"Robbery","78","81","71","77","88","85","72","77","79","81"
"Weapon","","","","","","","","","",""
"Firearm","9","20","11","15","37","19","11","13","18","15"
"Knife or Cutting Instrument","10","5","10","8","8","11","9","9","15","4"
"Other Weapon","12","7","4","6","4","10","7","5","9","6"
"Strong-Arm","47","49","46","48","39","45","45","50","37","56"
"Location","","","","","","","","","",""
"Highway","17","13","13","18","9","12","12","18","12","16"
"Commercial","4","9","5","9","17","11","2","10","12","15"
"Gas Station","4","2","1","4","5","5","3","3","4","3"
"Convenience Store","7","6","3","10","11","11","18","11","14","10"
"Residence","11","11","13","7","9","12","3","10","14","8"
"Bank","2","11","5","0","2","3","4","4","1","2"
"Miscellaneous","33","29","31","29","35","31","30","21","22","27"
"Aggravated Assault","753","877","1,006","972","921","646","549","453","637","736"
"Weapon","","","","","","","","","",""
"Firearm","11","24","24","26","24","27","13","25","38","59"
"Knife or Cutting Instrument","56","51","79","61","72","67","50","43","77","115"
"Other Weapon","149","127","150","152","145","131","134","117","169","178"
"Hands  Fists  Feet","537","675","753","733","680","421","352","268","353","384"
"Property Crimes","6,252","6,208","5,683","6,786","6,687","5,812","5,569","5,119","4,610","5,270"
"Burglary","1,568","1,642","1,395","1,352","1,199","1,038","1,079","995","868","965"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","687","861","674","753","658","643","641","626","536","620"
"No Force","881","781","721","599","541","395","438","369","332","345"
"Location / Time","","","","","","","","","",""
"Residence","783","737","593","593","545","398","504","380","316","344"
"Night","192","195","144","138","115","101","113","83","92","95"
"Day","269","216","195","176","170","113","145","135","89","104"
"Unknown","322","326","254","279","260","184","246","162","135","145"
"Non-Residence","785","905","802","759","654","640","575","615","552","621"
"Night","343","404","366","305","255","276","239","238","190","245"
"Day","201","217","204","170","170","146","152","145","148","236"
"Unknown","241","284","232","284","229","218","184","232","214","140"
"Motor Vehicle Theft","418","399","395","529","501","429","321","324","361","480"
"Automotive","329","290","307","360","332","272","173","175","215","298"
"Trucks and Buses","25","33","32","74","77","68","73","55","63","66"
"Other","64","76","56","95","92","89","75","94","83","116"
"Larceny-Theft","4,266","4,167","3,893","4,905","4,987","4,345","4,169","3,800","3,381","3,825"
"Type","","","","","","","","","",""
"Pocket-Picking","7","11","11","17","11","10","8","9","11","91"
"Purse-Snatching","19","24","27","25","13","17","26","22","10","6"
"Shoplifting","672","668","758","979","900","977","931","804","493","530"
"From Motor Vehicle","1,246","1,213","1,017","1,544","1,716","1,303","1,135","1,025","998","1,028"
"Motor Vehicle Accessories","121","117","109","100","125","130","194","203","182","600"
"Bicycles","430","466","375","495","497","416","465","392","370","391"
"From Building","305","333","321","318","357","361","388","327","243","252"
"Coin Operated Machine","25","24","24","3","19","12","12","12","15","10"
"Other","1,441","1,311","1,251","1,424","1,349","1,119","1,010","1,006","1,059","917"
"Value","","","","","","","","","",""
"Over $400","1,192","1,295","1,250","1,501","1,510","1,331","1,428","1,311","1,301","null"
"$200 through $400","745","773","637","803","759","647","690","633","502","null"
"$50 through $199","888","883","840","1,111","1,057","963","886","835","665","632"
"Under $50","1,441","1,216","1,166","1,490","1,661","1,404","1,165","1,021","913","871"
"Arson","87","61","34","63","59","36","44","44","52","66"
"Structural Property","12","10","2","6","13","7","5","13","14","9"
"Mobile Property","11","5","4","3","14","5","5","4","4","4"
"Other Property","64","46","28","54","32","24","34","27","34","53"
